# step, gen_loss, dis_loss
100,  1.056636E+01,  1.013907E-02
200,  1.119380E+01,  1.662446E-03
300,  1.053402E+01,  1.073014E-03
400,  1.085262E+01,  8.735079E-04
500,  1.015558E+01,  2.767288E-03
600,  9.086244E+00,  3.052705E-03
700,  1.767924E+01,  1.587605E-02
800,  7.910413E+00,  2.891775E-03
900,  1.137717E+01,  1.655634E-03
1000,  6.873231E+00,  1.537613E-02
1100,  9.019744E+00,  3.608217E-03
1200,  9.788739E+00,  2.113862E-03
1300,  8.652612E+00,  2.497973E-03
1400,  7.881344E+00,  1.270627E-02
1500,  8.671462E+00,  1.359690E-02
1600,  8.036036E+00,  6.758320E-03
1700,  6.946117E+00,  1.346027E-02
1800,  6.318213E+00,  2.338434E-02
1900,  7.015617E+00,  2.042318E-02
2000,  6.679302E+00,  3.579520E-02
2100,  6.266081E+00,  3.952087E-02
2200,  6.627275E+00,  2.604780E-02
2300,  6.723941E+00,  2.741617E-02
2400,  5.678854E+00,  1.705360E-02
2500,  5.456421E+00,  5.797616E-02
2600,  5.487504E+00,  2.538412E-02
2700,  5.274113E+00,  7.049595E-02
2800,  4.541492E+00,  4.018595E-02
2900,  4.336695E+00,  1.075447E-01
3000,  4.434838E+00,  4.802762E-02
3100,  3.919578E+00,  8.851896E-02
3200,  3.800144E+00,  8.816552E-02
3300,  3.478612E+00,  7.940855E-02
3400,  3.383348E+00,  1.058991E-01
3500,  4.134177E+00,  1.008262E-01
3600,  3.266462E+00,  1.061900E-01
3700,  3.258460E+00,  1.034043E-01
3800,  3.226415E+00,  8.998957E-02
3900,  3.233341E+00,  1.020708E-01
4000,  3.578120E+00,  7.710371E-02
4100,  3.902173E+00,  1.172724E-01
4200,  4.273220E+00,  6.456074E-02
4300,  3.783382E+00,  7.538251E-02
4400,  4.638945E+00,  7.801509E-02
4500,  4.221042E+00,  5.477487E-02
4600,  3.826485E+00,  7.479412E-02
4700,  4.356163E+00,  9.637339E-02
4800,  4.414515E+00,  9.757563E-02
4900,  3.780865E+00,  1.031723E-01
5000,  4.317252E+00,  1.576844E-01
5100,  3.590379E+00,  1.562030E-01
5200,  3.915756E+00,  1.085876E-01
5300,  4.255949E+00,  5.921751E-02
5400,  3.561097E+00,  9.813058E-02
5500,  4.026844E+00,  1.023479E-01
5600,  3.737313E+00,  1.133366E-01
5700,  3.627697E+00,  1.078859E-01
5800,  3.574005E+00,  9.056492E-02
5900,  4.107562E+00,  1.598358E-01
6000,  3.545782E+00,  1.163013E-01
6100,  3.619713E+00,  1.057509E-01
6200,  3.234741E+00,  1.155197E-01
6300,  3.608210E+00,  1.238632E-01
6400,  3.911985E+00,  9.064337E-02
6500,  3.856725E+00,  9.455593E-02
6600,  3.688639E+00,  7.440634E-02
6700,  3.703321E+00,  9.247293E-02
6800,  3.804077E+00,  1.441174E-01
6900,  3.766992E+00,  1.450065E-01
7000,  3.651118E+00,  1.172149E-01
7100,  3.909435E+00,  1.354540E-01
7200,  3.421452E+00,  1.096322E-01
7300,  3.770930E+00,  8.610111E-02
7400,  3.747195E+00,  7.523948E-02
7500,  3.736760E+00,  8.110106E-02
7600,  3.858377E+00,  1.271147E-01
7700,  3.762650E+00,  1.157328E-01
7800,  3.304099E+00,  1.294242E-01
7900,  3.611797E+00,  8.051349E-02
8000,  3.385292E+00,  1.037907E-01
8100,  3.833766E+00,  8.138567E-02
8200,  3.490644E+00,  9.334570E-02
8300,  3.505493E+00,  7.393064E-02
8400,  3.483543E+00,  1.055942E-01
8500,  3.509688E+00,  9.759213E-02
8600,  3.620525E+00,  8.470057E-02
8700,  3.370500E+00,  1.045386E-01
8800,  3.741467E+00,  7.466149E-02
8900,  3.631276E+00,  7.573491E-02
9000,  3.746742E+00,  6.717792E-02
9100,  3.567422E+00,  7.863088E-02
9200,  3.707988E+00,  7.040031E-02
9300,  3.154411E+00,  9.532680E-02
9400,  3.432295E+00,  9.142166E-02
9500,  3.434108E+00,  8.740914E-02
9600,  3.524835E+00,  9.353233E-02
9700,  3.607538E+00,  9.216259E-02
9800,  3.459484E+00,  1.030974E-01
9900,  3.086735E+00,  1.230180E-01
10000,  3.352231E+00,  9.895487E-02
10100,  3.313031E+00,  1.062634E-01
10200,  3.699999E+00,  6.946485E-02
10300,  3.442349E+00,  8.360568E-02
10400,  3.528582E+00,  9.263585E-02
10500,  3.565734E+00,  7.492965E-02
10600,  3.555079E+00,  9.074774E-02
10700,  3.554966E+00,  9.412736E-02
10800,  3.835949E+00,  6.789733E-02
10900,  3.349526E+00,  8.651501E-02
11000,  3.645722E+00,  6.189497E-02
11100,  3.500309E+00,  8.347125E-02
11200,  3.218450E+00,  1.059460E-01
11300,  3.548988E+00,  7.605045E-02
11400,  3.397017E+00,  8.620350E-02
11500,  3.409417E+00,  9.847816E-02
11600,  3.577705E+00,  7.937974E-02
11700,  3.269353E+00,  1.028020E-01
11800,  3.287953E+00,  1.044783E-01
11900,  3.466259E+00,  9.411104E-02
12000,  3.589471E+00,  7.450946E-02
12100,  3.147700E+00,  1.044959E-01
12200,  3.582781E+00,  7.899968E-02
12300,  3.556191E+00,  8.995534E-02
12400,  3.493574E+00,  1.009431E-01
12500,  3.532417E+00,  8.437267E-02
12600,  3.501927E+00,  9.656715E-02
12700,  3.554588E+00,  1.045087E-01
12800,  3.592175E+00,  9.074982E-02
12900,  3.431095E+00,  1.032576E-01
13000,  3.700881E+00,  7.748812E-02
13100,  3.383370E+00,  9.208775E-02
13200,  3.425304E+00,  9.946916E-02
13300,  3.701941E+00,  7.969350E-02
13400,  3.290363E+00,  9.915905E-02
13500,  3.230384E+00,  9.480396E-02
13600,  3.339552E+00,  9.556751E-02
13700,  3.448629E+00,  9.204592E-02
13800,  3.371949E+00,  1.087607E-01
13900,  3.418739E+00,  1.052799E-01
14000,  3.227240E+00,  1.079632E-01
14100,  3.240184E+00,  1.017490E-01
14200,  3.691859E+00,  7.433840E-02
14300,  3.752665E+00,  7.601457E-02
14400,  3.092604E+00,  1.165197E-01
14500,  3.501585E+00,  1.090960E-01
14600,  3.597899E+00,  7.877728E-02
14700,  3.508310E+00,  7.892215E-02
14800,  3.348738E+00,  1.075604E-01
14900,  3.785616E+00,  7.673509E-02
15000,  3.597094E+00,  8.512026E-02
15100,  3.474054E+00,  8.293997E-02
15200,  3.507290E+00,  7.536124E-02
15300,  3.614094E+00,  7.618882E-02
15400,  3.553883E+00,  1.102131E-01
15500,  3.419063E+00,  1.108446E-01
15600,  3.643932E+00,  8.047643E-02
15700,  3.541448E+00,  9.704734E-02
15800,  3.443675E+00,  9.974360E-02
15900,  3.754449E+00,  8.088975E-02
16000,  3.645798E+00,  7.335286E-02
16100,  3.657019E+00,  7.806005E-02
16200,  3.402173E+00,  9.101363E-02
16300,  3.400737E+00,  1.141737E-01
16400,  3.473416E+00,  8.926089E-02
16500,  3.304490E+00,  1.179380E-01
16600,  3.525106E+00,  7.305751E-02
16700,  3.521973E+00,  8.093247E-02
16800,  3.466882E+00,  8.544993E-02
16900,  3.237571E+00,  8.794668E-02
17000,  3.428267E+00,  9.472540E-02
17100,  3.191501E+00,  1.168484E-01
17200,  3.529625E+00,  8.635950E-02
17300,  3.446646E+00,  1.011221E-01
17400,  3.237277E+00,  1.137386E-01
17500,  3.567862E+00,  7.410267E-02
17600,  3.648259E+00,  8.364478E-02
17700,  3.513860E+00,  8.323283E-02
17800,  3.632028E+00,  7.757485E-02
17900,  3.649637E+00,  7.213610E-02
18000,  3.331430E+00,  9.148553E-02
18100,  3.486230E+00,  1.077323E-01
18200,  3.246279E+00,  9.462801E-02
18300,  3.477290E+00,  1.021096E-01
18400,  3.464250E+00,  9.960816E-02
18500,  3.398454E+00,  9.627151E-02
18600,  3.481829E+00,  9.844483E-02
18700,  3.219302E+00,  1.120870E-01
18800,  3.469047E+00,  9.078632E-02
18900,  3.266630E+00,  1.156917E-01
19000,  3.261472E+00,  9.854338E-02
19100,  3.368303E+00,  9.660985E-02
19200,  3.406548E+00,  9.348390E-02
19300,  3.598103E+00,  7.810947E-02
19400,  3.552965E+00,  7.338680E-02
19500,  3.364236E+00,  1.038425E-01
19600,  3.142537E+00,  1.228187E-01
19700,  3.691980E+00,  7.863015E-02
19800,  3.617690E+00,  8.316970E-02
19900,  3.488910E+00,  9.962125E-02
20000,  3.542448E+00,  9.348018E-02
20100,  3.344684E+00,  9.785108E-02
20200,  3.465162E+00,  8.680494E-02
20300,  3.620719E+00,  8.937789E-02
20400,  3.401639E+00,  9.064502E-02
20500,  3.352314E+00,  9.957625E-02
20600,  3.577117E+00,  8.236547E-02
20700,  3.369509E+00,  1.020795E-01
20800,  3.386674E+00,  8.923271E-02
20900,  3.450274E+00,  8.793985E-02
21000,  3.495135E+00,  9.666720E-02
21100,  3.619595E+00,  8.480295E-02
21200,  3.578780E+00,  8.733100E-02
21300,  3.462664E+00,  8.696056E-02
21400,  3.226539E+00,  1.112522E-01
21500,  3.398779E+00,  8.595579E-02
21600,  3.695732E+00,  7.017909E-02
21700,  3.501412E+00,  9.290293E-02
21800,  3.486345E+00,  9.252989E-02
21900,  3.619697E+00,  8.244088E-02
22000,  3.649456E+00,  8.366999E-02
22100,  3.499981E+00,  8.317858E-02
22200,  3.684756E+00,  8.416477E-02
22300,  3.500432E+00,  8.245961E-02
22400,  3.555139E+00,  8.323505E-02
22500,  3.655900E+00,  7.340901E-02
22600,  3.482191E+00,  7.829508E-02
22700,  3.595189E+00,  7.545394E-02
22800,  3.497089E+00,  8.025905E-02
22900,  3.535691E+00,  8.887778E-02
23000,  3.273697E+00,  1.047558E-01
23100,  3.319420E+00,  8.918250E-02
23200,  3.490207E+00,  9.027813E-02
23300,  3.352674E+00,  1.025500E-01
23400,  3.450399E+00,  9.742557E-02
23500,  3.665193E+00,  7.469490E-02
23600,  3.471052E+00,  8.869468E-02
23700,  3.470867E+00,  8.605024E-02
23800,  3.472553E+00,  1.071724E-01
23900,  3.466597E+00,  9.014454E-02
24000,  3.450248E+00,  9.393731E-02
24100,  3.495576E+00,  9.042963E-02
24200,  3.547495E+00,  7.297277E-02
24300,  3.507439E+00,  1.043579E-01
24400,  3.569638E+00,  8.806995E-02
24500,  3.486183E+00,  8.990662E-02
24600,  3.437284E+00,  9.294830E-02
24700,  3.705417E+00,  7.769280E-02
24800,  3.467456E+00,  8.449157E-02
24900,  3.566019E+00,  8.642073E-02
25000,  3.670828E+00,  8.231124E-02
25100,  3.555773E+00,  7.830974E-02
25200,  3.729083E+00,  6.746360E-02
25300,  3.695704E+00,  7.972020E-02
25400,  3.758968E+00,  6.669952E-02
25500,  3.435520E+00,  8.923616E-02
25600,  3.107361E+00,  1.027386E-01
25700,  3.562677E+00,  8.945192E-02
25800,  3.462937E+00,  1.043345E-01
25900,  3.585114E+00,  9.019652E-02
26000,  3.557945E+00,  8.460133E-02
26100,  3.338148E+00,  8.908343E-02
26200,  3.719828E+00,  7.922605E-02
26300,  3.610795E+00,  8.519922E-02
26400,  3.455642E+00,  9.174652E-02
26500,  3.557645E+00,  8.817196E-02
26600,  3.677394E+00,  7.238781E-02
26700,  3.392256E+00,  1.068464E-01
26800,  3.415359E+00,  1.205469E-01
26900,  3.480160E+00,  7.874607E-02
27000,  3.449588E+00,  7.857916E-02
27100,  3.455222E+00,  9.855647E-02
27200,  3.329624E+00,  8.267823E-02
27300,  3.471802E+00,  8.654885E-02
27400,  3.515454E+00,  7.684141E-02
27500,  3.375791E+00,  9.804674E-02
27600,  3.361056E+00,  1.248932E-01
27700,  3.275705E+00,  1.113321E-01
27800,  3.478245E+00,  8.532217E-02
27900,  3.471875E+00,  9.757860E-02
28000,  3.346429E+00,  1.049564E-01
28100,  3.803396E+00,  6.590395E-02
28200,  3.228554E+00,  1.002750E-01
28300,  3.478964E+00,  1.002653E-01
28400,  3.510456E+00,  9.049408E-02
28500,  3.348697E+00,  8.553673E-02
28600,  3.637518E+00,  8.573398E-02
28700,  3.776160E+00,  7.305512E-02
28800,  3.200254E+00,  1.121885E-01
28900,  3.712786E+00,  7.641678E-02
29000,  3.285972E+00,  1.223231E-01
29100,  3.514479E+00,  8.716185E-02
29200,  3.613221E+00,  8.582626E-02
29300,  3.453580E+00,  8.736084E-02
29400,  3.630020E+00,  8.775734E-02
29500,  3.083655E+00,  1.325923E-01
29600,  3.518896E+00,  8.407389E-02
29700,  3.455598E+00,  8.118834E-02
29800,  3.503943E+00,  8.013124E-02
29900,  3.586105E+00,  8.166241E-02
30000,  3.301223E+00,  9.832579E-02
30100,  3.428688E+00,  9.686578E-02
30200,  3.589151E+00,  8.052158E-02
